sale_id,sale_date,sale_hour,item_id,item_name,category,quantity,unit_price,total_amount,weather,temperature,day_of_week
S00000001,2026-01-08,6,L001,Lチキ,ホットスナック,1,210,210,rainy,8.4,3
S00000002,2026-01-08,6,OD02,おでん たまご,おでん,1,100,100,rainy,8.4,3
S00000003,2026-01-08,6,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000004,2026-01-08,6,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000005,2026-01-08,6,N001,肉まん,中華まん,1,150,150,rainy,8.4,3
S00000006,2026-01-08,6,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000007,2026-01-08,6,S002,サンドイッチ ハムチーズ,サンドイッチ,1,328,328,rainy,8.4,3
S00000008,2026-01-08,6,O004,おにぎり 梅,おにぎり,2,120,240,rainy,8.4,3
S00000009,2026-01-08,6,OD01,おでん 大根,おでん,1,90,90,rainy,8.4,3
S00000010,2026-01-08,7,L002,Lチキ 旨辛,ホットスナック,3,210,630,rainy,8.4,3
S00000011,2026-01-08,7,K003,からあげクン チーズ,ホットスナック,1,238,238,rainy,8.4,3
S00000012,2026-01-08,7,B003,チキン南蛮弁当,弁当,1,548,548,rainy,8.4,3
S00000013,2026-01-08,7,O003,おにぎり 明太子,おにぎり,1,150,150,rainy,8.4,3
S00000014,2026-01-08,7,D001,お茶 500ml,飲料,1,150,150,rainy,8.4,3
S00000015,2026-01-08,7,C002,カップ麺 味噌,カップ麺,1,220,220,rainy,8.4,3
S00000016,2026-01-08,7,O004,おにぎり 梅,おにぎり,1,120,120,rainy,8.4,3
S00000017,2026-01-08,7,C001,カップ麺 醤油,カップ麺,1,220,220,rainy,8.4,3
S00000018,2026-01-08,7,O001,おにぎり 鮭,おにぎり,1,140,140,rainy,8.4,3
S00000019,2026-01-08,7,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000020,2026-01-08,7,SW02,プリン,スイーツ,2,180,360,rainy,8.4,3
S00000021,2026-01-08,8,OD03,おでん ちくわ,おでん,1,110,110,rainy,8.4,3
S00000022,2026-01-08,8,B003,チキン南蛮弁当,弁当,1,548,548,rainy,8.4,3
S00000023,2026-01-08,8,N002,ピザまん,中華まん,1,150,150,rainy,8.4,3
S00000024,2026-01-08,8,K002,からあげクン レッド,ホットスナック,1,238,238,rainy,8.4,3
